-BUTYL-BUTYRYL-LACTATE,Non disponible,Non disponible,No table found
-METHOXYBRASSITIN,Fungicide,not available,"Duke, 1992 *"
-METHOXYBRASSITIN,Pesticide,not available,"Duke, 1992 *"
-METHOXYBRASSITIN,Phytoalexin,not available,"Duke, 1992 *"
"(-)-10-HYDROXY-1,2-METHYLENEDIOXYAPORPHINE",Mycoplasmistat,5 ug/ml,"Collins, D.J., Culvenor, C.C.J., Lamberton, J.A., Loder, J.W. and Price, J.R., Plants for Medicines, CSIRO, East Melbourne, Australia, 1990, 303 pp."
"(-)-16,17-DIHYDROXY-16BETA-KAURAN-19-OIC",Antiinflammatory,300 ppm,"Duke, 1992 *"
"(-)-3-HYDROXY-4-METHOXY-8,9-METHYLENEDIOXYPTEROCARPAN",Quinone-Reductase-Inducer,IC50=>63.7 uM,"Duke, 1992 *"
(-)-3-HYDROXY-9-METHOXYPTEROCARPAN,Fungicide,IC31-69=100 uM,"Duke, 1992 *"
(-)-3-HYDROXY-9-METHOXYPTEROCARPAN,Pesticide,not available,"Duke, 1992 *"
(-)-3-ISOTHUJONE,Antifeedant,not available,"Jacobson, M., Glossary of Plant-Derived Insect Deterrents, CRC Press, Inc., Boca Raton, FL, 213 p, 1990."
(-)-3-ISOTHUJONE,Pesticide,not available,"Duke, 1992 *"
(-)-ACANTHOCARPAN,Fungicide,ED50=<50-100,"Duke, 1992 *"
(-)-ACANTHOCARPAN,Pesticide,not available,"Duke, 1992 *"
(-)-ACANTHOCARPAN,Phytoalexin,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(-)-ACETOXYCOLLININ,Antiaggregant,EC100=100 uM,"Duke, 1992 *"
(-)-ALPHA-BISABOLOL,Analgesic,not available,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989."
(-)-ALPHA-BISABOLOL,Antiinflammatory,not available,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989."
(-)-ALPHA-BISABOLOL,Antipeptic,not available,"Wagner & Wolff, eds. 1977. New Natural Products (RS164. I56. 176)"
(-)-ALPHA-BISABOLOL,Antispasmodic,not available,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989."
(-)-ALPHA-BISABOLOL,Antiulcer,not available,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989."
(-)-ALPHA-BISABOLOL,Gastroprotective,not available,"Duke, 1992 *"
(-)-ALPHA-BISABOLOL,Perfumery,not available,Aloe Research Council - Duke writeup of non-peer reviewd book by Coats and draft by Henry
(-)-ALPHA-BISABOLOL,Vulnerary,not available,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989."
(-)-ALPHA-HYDRASTINE,Antiseptic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(-)-ALPHA-HYDRASTINE,Hemostat,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(-)-ALPHA-HYDRASTINE,Pesticide,not available,"Duke, 1992 *"
(-)-ANABASINE,Antismoking,not available,"Duke, 1992 *"
(-)-ANABASINE,Insecticide,not available,"UNESCO. 1960. Medicinal Plants of the Arid Zones. eds.(botany) I.C. Chopra, B.K. Abrol and K.L. Hands; eds (pharmacology), R. Paris and G. Dillemann  UNESCO, Place de Fontenoy, Paris 7E. 96 pp."
(-)-ANABASINE,Myorelaxant,not available,"Duke, 1992 *"
(-)-ANABASINE,Pesticide,not available,"Duke, 1992 *"
(-)-ANABASINE,Respirastimulant,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(-)-ANABASINE,Sialogogue,not available,"Duke, 1992 *"
(-)-ANONAINE,Antimalarial,IC50=1290-1900 ug/ml,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
(-)-ANONAINE,Antiplasmodial,IC50=1290-1900 ug/ml,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
(-)-APIOCARPIN,Fungicide,ED50=<50,"Duke, 1992 *"
(-)-APIOCARPIN,Pesticide,not available,"Duke, 1992 *"
(-)-APIOCARPIN,Phytoalexin,not available,"Duke, 1992 *"
(-)-APOGLAZIOVINE,Hypotensive,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(-)-APOGLAZIOVINE,Tranquilizer,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(-)-ARCTIGENIN,AntiHIV,IC85=0.5 uM,"Duke, 1992 *"
(-)-ARCTIGENIN,Antiintegrase,not available,"Duke, 1992 *"
(-)-ARCTIGENIN,Antilymphomic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(-)-ARCTIGENIN,Cytotoxic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(-)-ARCTIGENIN,Pesticide,not available,"Duke, 1992 *"
(-)-ARCTIGENIN,Phosphodiesterase-Inhibitor,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(-)-ARCTIGENIN,Topoisomerase-Inhibitor,not available,"Duke, 1992 *"
(-)-ARGEMONINE,Analgesic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(-)-ARGEMONINE,Antiarrhythmic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(-)-ARMEPAVINE-N-OXIDE,Cytotoxic,ED50(KB)=4.0 ug/ml,"Duke, 1992 *"
(-)-ASIMILOBINE,Antimalarial,IC50=470-950 ug/ml,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
(-)-ASIMILOBINE,Antiplasmodial,IC50=470-950 ug/ml,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
(-)-BETONICINE,Antiinflammatory,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(-)-BETONICINE,Hemostat,not available,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989."
(-)-BISPARTHENOLIDINE,Antioxidant,30-60 ug/g,"Duke, 1992 *"
(-)-BISPARTHENOLIDINE,Antitumor,not available,"Duke, 1992 *"
(-)-BORNEOL,Antiacetylcholinesterase,IC38=164 ug/ml,"Duke, 1992 *"
(-)-BORNEOL,Insect-Repellent,not available,"Duke, 1992 *"
(-)-BORNEOL,Pesticide,not available,"Duke, 1992 *"
(-)-BORNYL-CAFFEATE,5-Lipoxygenase-Inhibitor,not available,"Duke, 1992 *"
(-)-BORNYL-CAFFEATE,Antiinflammatory,not available,"Duke, 1992 *"
(-)-BORNYL-CAFFEATE,Antioxidant,not available,"Duke, 1992 *"
(-)-BORNYL-FERULATE,5-Lipoxygenase-Inhibitor,not available,"Duke, 1992 *"
(-)-BORNYL-FERULATE,Antiinflammatory,not available,"Duke, 1992 *"
(-)-BORNYL-FERULATE,Antioxidant,not available,"Duke, 1992 *"
